iter	Passed	Remaining
426	1496	2008
427	1497	2001
428	1498	1994
429	1503	1992
430	1505	1987
431	1506	1980
432	1507	1974
433	1508	1967
434	1509	1960
435	1510	1954
436	1511	1947
437	1512	1940
438	1513	1933
439	1514	1927
440	1520	1927
441	1521	1921
442	1522	1914
443	1523	1908
444	1524	1901
445	1525	1895
446	1526	1888
447	1527	1882
448	1528	1875
449	1529	1869
450	1532	1865
451	1536	1862
452	1537	1856
453	1538	1850
454	1539	1843
455	1540	1837
456	1541	1831
457	1542	1824
458	1543	1818
459	1544	1812
460	1544	1806
461	1549	1804
462	1553	1801
463	1555	1797
464	1556	1791
465	1558	1785
466	1559	1779
467	1560	1773
468	1568	1775
469	1569	1769
470	1570	1763
471	1571	1757
472	1572	1752
473	1573	1746
474	1574	1740
475	1575	1734
476	1580	1733
477	1582	1727
478	1583	1722
479	1586	1718
480	1587	1712
481	1588	1707
482	1589	1701
483	1591	1696
484	1597	1696
485	1599	1691
486	1600	1685
487	1601	1680
488	1665	1740
489	1667	1735
490	1676	1738
491	1679	1734
492	1681	1729
493	1684	1725
494	1686	1720
495	1687	1714
496	1694	1714
497	1695	1709
498	1697	1704
499	1699	1699
500	1700	1693
501	1701	1688
502	1703	1682
503	1708	1681
504	1709	1676
505	1711	1670
506	1713	1665
507	1762	1707
508	1764	1701
509	1765	1696
510	1771	1695
511	1773	1690
512	1775	1685
513	1776	1679
514	1778	1674
515	1779	1669
516	1780	1663
517	1782	1658
518	1783	1652
519	1787	1649
520	1789	1645
521	1791	1640
522	1793	1635
523	1794	1630
524	1796	1625
525	1797	1619
526	1798	1614
527	1863	1666
528	1865	1660
529	1881	1668
530	1889	1668
531	1890	1663
532	1892	1657
533	1893	1652
534	1897	1648
535	1899	1644
536	1900	1638
537	1902	1633
538	1904	1629
539	1907	1624
540	1908	1619
541	1921	1624
542	1923	1618
543	1924	1613
544	1925	1607
545	1934	1608
546	1948	1613
547	1951	1609
548	1952	1604
549	1954	1599
550	1955	1593
551	1957	1588
552	1961	1585
553	1963	1580
554	1965	1575
555	1967	1571
556	1969	1566
557	1971	1561
558	1973	1556
559	1980	1555
560	1981	1550
561	1983	1546
562	1994	1548
563	2003	1548
564	2004	1543
565	2006	1538
566	2007	1533
567	2008	1527
568	2009	1522
569	2010	1516
570	2011	1511
571	2012	1506
572	2013	1500
573	2016	1496
574	2019	1492
575	2021	1487
576	2022	1482
577	2024	1478
578	2025	1472
579	2026	1467
580	2027	1462
581	2028	1456
582	2029	1451
583	2032	1447
584	2034	1443
585	2035	1438
586	2036	1433
587	2038	1428
588	2039	1423
589	2040	1417
590	2041	1412
591	2042	1407
592	2043	1402
593	2044	1397
594	2050	1395
595	2051	1390
596	2053	1385
597	2054	1380
598	2055	1375
599	2056	1370
600	2058	1366
601	2059	1361
602	2059	1356
603	2065	1354
604	2066	1349
605	2068	1344
606	2069	1340
607	2072	1336
608	2073	1331
609	2074	1326
610	2075	1321
611	2083	1321
612	2084	1316
613	2086	1311
614	2087	1306
615	2088	1301
616	2089	1297
617	2090	1292
618	2093	1288
619	2096	1285
620	2097	1280
621	2099	1275
622	2100	1270
623	2101	1266
624	2102	1261
625	2103	1256
626	2104	1251
627	2104	1246
628	2105	1242
629	2108	1238
630	2111	1234
631	2112	1230
632	2113	1225
633	2114	1220
634	2115	1216
635	2116	1211
636	2117	1206
637	2118	1202
638	2119	1197
639	2120	1192
640	2121	1188
641	2124	1184
642	2125	1180
643	2127	1175
644	2129	1171
645	2130	1167
646	2131	1162
647	2132	1158
648	2133	1153
649	2134	1149
650	2136	1145
651	2137	1140
652	2146	1140
653	2147	1136
654	2148	1131
655	2149	1127
656	2150	1122
657	2151	1118
658	2152	1113
659	2155	1110
660	2158	1106
661	2159	1102
662	2160	1097
663	2161	1093
664	2162	1089
665	2163	1084
666	2164	1080
667	2165	1076
668	2166	1071
669	2167	1067
670	2168	1063
671	2170	1059
672	2172	1055
673	2173	1051
674	2174	1047
675	2175	1042
676	2176	1038
677	2177	1034
678	2178	1030
679	2180	1025
680	2181	1022
681	2182	1017
682	2186	1014
683	2187	1010
684	2191	1007
685	2194	1004
686	2196	1000
687	2197	996
688	2198	992
689	2204	990
690	2206	986
691	2207	982
692	2208	978
693	2209	974
694	2210	970
695	2211	966
696	2212	961
697	2213	957
698	2214	953
699	2217	950
700	2218	946
701	2219	942
702	2220	938
703	2221	934
704	2222	930
705	2223	926
706	2224	922
707	2226	918
708	2227	914
709	2227	909
710	2231	906
711	2233	903
712	2235	899
713	2238	896
714	2239	892
715	2240	888
716	2241	884
717	2242	880
718	2243	876
719	2253	876
720	2254	872
721	2255	868
722	2256	864
723	2257	860
724	2258	856
725	2259	852
726	2264	850
727	2265	846
728	2266	842
729	2267	838
730	2268	834
731	2269	830
732	2270	826
733	2271	823
734	2272	819
735	2272	815
736	2273	811
737	2274	807
738	2279	805
739	2283	802
740	2284	798
741	2285	794
742	2286	791
743	2287	787
744	2289	783
745	2289	779
746	2293	776
747	2295	773
748	2297	769
749	2298	766
750	2299	762
751	2300	758
752	2301	755
753	2302	751
754	2303	747
755	2304	743
756	2305	740
757	2308	737
758	2309	733
759	2310	729
760	2312	726
761	2313	722
762	2315	719
763	2316	715
764	2321	713
765	2322	709
766	2323	705
767	2324	702
768	2325	698
769	2326	695
770	2327	691
771	2328	687
772	2329	684
773	2331	680
774	2332	677
775	2335	674
776	2336	670
777	2337	667
778	2338	663
779	2339	659
780	2340	656
781	2341	652
782	2342	649
783	2343	645
784	2344	642
785	2345	638
786	2346	635
787	2347	631
788	2351	628
789	2353	625
790	2354	622
791	2357	619
792	2358	615
793	2359	612
794	2360	608
795	2361	605
796	2364	602
797	2366	598
798	2367	595
799	2368	592
800	2369	588
801	2370	585
802	2371	581
803	2372	578
804	2373	574
805	2374	571
806	2374	567
807	2375	564
808	2376	561
809	2377	557
810	2380	554
811	2386	552
812	2388	549
813	2389	546
814	2390	542
815	2391	539
816	2392	535
817	2393	532
818	2396	529
819	2397	526
820	2398	522
821	2399	519
822	2400	516
823	2401	512
824	2402	509
825	2403	506
826	2404	503
827	2405	499
828	2406	496
829	2409	493
830	2410	490
831	2412	487
832	2414	484
833	2415	480
834	2416	477
835	2417	474
836	2419	471
837	2420	467
838	2422	464
839	2424	461
840	2426	458
841	2427	455
842	2429	452
843	2430	449
844	2432	446
845	2433	442
846	2434	439
847	2435	436
848	2436	433
849	2439	430
850	2443	427
851	2444	424
852	2445	421
853	2447	418
854	2448	415
855	2449	411
856	2450	408
857	2450	405
858	2451	402
859	2454	399
860	2458	396
861	2459	393
862	2460	390
863	2461	387
864	2463	384
865	2463	381
866	2464	378
867	2465	374
868	2466	371
869	2467	368
870	2470	365
871	2473	363
872	2474	359
873	2475	356
874	2476	353
875	2478	350
876	2479	347
877	2479	344
878	2480	341
879	2481	338
880	2482	335
881	2485	332
882	2486	329
883	2489	326
884	2490	323
885	2491	320
886	2492	317
887	2493	314
888	2494	311
889	2495	308
890	2496	305
891	2497	302
892	2502	299
893	2504	296
894	2505	293
895	2506	290
896	2507	287
897	2508	284
898	2509	281
899	2510	278
900	2511	275
901	2512	272
902	2513	269
903	2516	267
904	2518	264
905	2520	261
906	2521	258
907	2522	255
908	2523	252
909	2524	249
910	2524	246
911	2526	243
912	2527	240
913	2527	237
914	2528	234
915	2535	232
916	2537	229
917	2538	226
918	2539	223
919	2540	220
920	2541	217
921	2542	215
922	2544	212
923	2547	209
924	2549	206
925	2550	203
926	2551	200
927	2552	198
928	2553	195
929	2554	192
930	2556	189
931	2557	186
932	2558	183
933	2559	180
934	2560	178
935	2562	175
936	2563	172
937	2564	169
938	2566	166
939	2568	163
940	2569	161
941	2570	158
942	2572	155
943	2580	153
944	2581	150
945	2582	147
946	2583	144
947	2584	141
948	2586	138
949	2587	136
950	2596	133
951	2599	131
952	2600	128
953	2601	125
954	2602	122
955	2608	120
956	2609	117
957	2611	114
958	2612	111
959	2613	108
960	2614	106
961	2615	103
962	2616	100
963	2618	97
964	2619	94
965	2630	92
966	2631	89
967	2632	87
968	2633	84
969	2634	81
970	2642	78
971	2643	76
972	2644	73
973	2646	70
974	2647	67
975	2648	65
976	2649	62
977	2650	59
978	2663	57
979	2664	54
980	2665	51
981	2666	48
982	2672	46
983	2673	43
984	2674	40
985	2677	38
986	2678	35
987	2680	32
988	2682	29
989	2693	27
990	2695	24
991	2696	21
992	2697	19
993	2707	16
994	2708	13
995	2709	10
996	2710	8
997	2711	5
998	2712	2
999	2713	0
